name,lat,lon,default_radius,open,close
MCDONALD,44.392639,-71.186251,20,0500,2359
MCDONALD,45.4881126,-89.7300544,20,0500,2359
MCDONALD,43.86327980000001,-116.5005054,20,0500,2359
MCDONALD,43.5488018,-116.5699713,20,0500,2359
MCDONALD,43.5580207,-116.5722058,20,0500,2359
MCDONALD,53.25620910000001,-113.5474515,20,0500,2359
MCDONALD,53.2682919,-113.5702064,20,0500,2359
MCDONALD,53.3372921,-113.5412117,20,0500,2359
MCDONALD,53.2806448,-113.5471219,20,0500,2359
MCDONALD,41.29658719999999,-92.65246909999999,20,0500,2359
MCDONALD,45.1608739,-89.1475979,20,0500,2359
MCDONALD,42.4591439,-92.2503921,20,0500,2359
MCDONALD,39.841917,-96.0571219,20,0500,2359
MCDONALD,35.4934761,-97.26828139999999,20,0500,2359
MCDONALD,41.689363,-92.0066009,20,0500,2359
MCDONALD,41.9422012,-84.8966569,20,0500,2359
MCDONALD,41.93862596,-84.98549358,20,0500,2359
MCDONALD,41.8735414,-85.18438259999999,20,0500,2359
MCDONALD,43.30404921,-72.49292873,20,0500,2359
MCDONALD,43.11230931,-71.91864163,20,0500,2359
MCDONALD,43.36886579999999,-72.32560050000001,20,0500,2359
MCDONALD,43.2893971,-71.8329529,20,0500,2359
MCDONALD,37.36042,-77.95427690000001,20,0500,2359
MCDONALD,37.3238902,-84.9250292,20,0500,2359
MCDONALD,38.5567931,-121.5400825,20,0500,2359
MCDONALD,31.032215,-82.744839,20,0500,2359
MCDONALD,41.8359883,-75.86509250000002,20,0500,2359
MCDONALD,34.220018,-119.1608887,20,0500,2359
MCDONALD,45.4242575,-76.3690781,20,0500,2359
MCDONALD,40.129563,-79.864578,20,0500,2359
MCDONALD,36.7078749,-110.2504648,20,0500,2359
MCDONALD,42.7872814,-96.92973169999999,20,0500,2359
MCDONALD,36.7349318,-86.577497,20,0500,2359
MCDONALD,35.29084749999999,-84.8175941,20,0500,2359
MCDONALD,40.1821628,-122.2195775,20,0500,2359
MCDONALD,32.74165559999999,-94.94211059999999,20,0500,2359
MCDONALD,33.587012,-102.367158,20,0500,2359
MCDONALD,35.8730362,-84.3232622,20,0500,2359
MCDONALD,40.6011111,-79.19527780000001,20,0500,2359
MCDONALD,39.41847080000001,-87.69281819999999,20,0500,2359
MCDONALD,39.45159439999999,-87.1249088,20,0500,2359
MCDONALD,48.4749554,-81.3935327,20,0500,2359
MCDONALD,48.4773327,-81.3196893,20,0500,2359
MCDONALD,47.94414085,-117.4777897,20,0500,2359
MCDONALD,43.17493981,-73.05413655,20,0500,2359
MCDONALD,50.0304009,-125.2740204,20,0500,2359
MCDONALD,50.0318583,-125.2607722,20,0500,2359
MCDONALD,50.0298466,-125.2465882,20,0500,2359
MCDONALD,38.97687379999999,-89.1011551,20,0500,2359
MCDONALD,35.89072529999999,-82.06672789999999,20,0500,2359
MCDONALD,35.7793943,-87.46779599999999,20,0500,2359
MCDONALD,37.2729113,-93.11006929999999,20,0500,2359
MCDONALD,36.7586093,-85.3281605,20,0500,2359
MCDONALD,33.6059234,-88.6596793,20,0500,2359
MCDONALD,48.4051726,-71.1719352,20,0500,2359
MCDONALD,48.4442222,-71.0813606,20,0500,2359
MCDONALD,48.4082601,-71.09296479999999,20,0500,2359
MCDONALD,48.4121324,-71.0501266,20,0500,2359
MCDONALD,48.40339669999999,-71.0552956,20,0500,2359
MCDONALD,38.7484528,-108.071355,20,0500,2359
MCDONALD,40.1475281,-97.1716472,20,0500,2359
MCDONALD,45.74199624,-107.6116017,20,0500,2359
MCDONALD,37.3672553,-84.3370738,20,0500,2359
MCDONALD,42.5317533,-96.37470959999999,20,0500,2359
MCDONALD,42.5236121,-96.41778149999999,20,0500,2359
MCDONALD,42.5041346,-96.4186575,20,0500,2359
MCDONALD,42.4968755,-96.378745,20,0500,2359
MCDONALD,42.48348089999999,-96.4124901,20,0500,2359
MCDONALD,42.47104038,-96.35426841,20,0500,2359
MCDONALD,42.45243036,-96.33319169,20,0500,2359
MCDONALD,42.43396870000001,-96.37246119999999,20,0500,2359
MCDONALD,43.19667640000001,-79.5699164,20,0500,2359
MCDONALD,37.536915,-76.7978754,20,0500,2359
MCDONALD,39.5443386,-77.90864189999999,20,0500,2359
MCDONALD,37.3340939,-88.08161129999999,20,0500,2359
MCDONALD,34.50517240000001,-82.0084073,20,0500,2359
MCDONALD,40.15352379999999,-105.1031729,20,0500,2359
MCDONALD,34.2587937,-83.4644627,20,0500,2359
MCDONALD,39.16486099999999,-86.495297,20,0500,2359
MCDONALD,39.16506231,-86.57162055,20,0500,2359
MCDONALD,39.18714614,-86.53365775,20,0500,2359
MCDONALD,39.21402797,-86.59202023,20,0500,2359
MCDONALD,39.28678578,-86.75685525,20,0500,2359
MCDONALD,34.25141906,-117.1884933,20,0500,2359
MCDONALD,29.49300770000001,-82.86459529999999,20,0500,2359
MCDONALD,29.61370179999999,-82.8167914,20,0500,2359
MCDONALD,47.83969800000001,-120.0193782,20,0500,2359
MCDONALD,34.4894921,-81.98354719999999,20,0500,2359
MCDONALD,34.465035,-84.455518,20,0500,2359
MCDONALD,45.0418104,-93.78808740000001,20,0500,2359
MCDONALD,43.35969106,-72.17590528,20,0500,2359
MCDONALD,36.4506158,-83.5705184,20,0500,2359
MCDONALD,35.7040117,-82.03778319999999,20,0500,2359
MCDONALD,35.67627597,-82.01366409,20,0500,2359
MCDONALD,38.5276955,-84.83146699999999,20,0500,2359
MCDONALD,36.8511723,-86.8912321,20,0500,2359
MCDONALD,41.76880790000001,-76.4228243,20,0500,2359
MCDONALD,34.8091723,-78.98438469999999,20,0500,2359
MCDONALD,35.9849061,-97.033074,20,0500,2359
MCDONALD,44.00521619999999,-77.1467509,20,0500,2359
MCDONALD,33.10109529999999,-86.8613019,20,0500,2359
MCDONALD,35.378986,-83.701455,20,0500,2359
MCDONALD,38.2059018,-85.34869929999999,20,0500,2359
MCDONALD,42.8672952,-100.5500641,20,0500,2359
MCDONALD,42.6486941,-84.0719476,20,0500,2359
MCDONALD,35.254752,-92.936881,20,0500,2359
MCDONALD,42.9721374,-90.1322783,20,0500,2359
MCDONALD,31.5679132,-93.4896285,20,0500,2359
MCDONALD,51.00814760000001,-118.2168768,20,0500,2359
MCDONALD,38.3799691,-78.25255369999999,20,0500,2359
MCDONALD,38.0199594,-77.9947677,20,0500,2359
MCDONALD,38.06139193,-122.5321745,20,0500,2359
MCDONALD,45.9704943,-94.8650739,20,0500,2359
MCDONALD,35.8089076,-94.6296022,20,0500,2359
MCDONALD,39.5791815,-78.8479692,20,0500,2359
MCDONALD,39.65101250000001,-78.9105034,20,0500,2359
MCDONALD,39.69410726,-79.24682205,20,0500,2359
MCDONALD,42.2569531,-72.249808,20,0500,2359
MCDONALD,37.4163775,-76.8207915,20,0500,2359
MCDONALD,49.88758879999999,-99.9512757,20,0500,2359
MCDONALD,36.93216184,-121.7696453,20,0500,2359
MCDONALD,36.916796,-121.7757245,20,0500,2359
MCDONALD,36.9076202,-121.7536156,20,0500,2359
MCDONALD,36.6800959,-121.6056425,20,0500,2359
MCDONALD,36.6581184,-121.6358988,20,0500,2359
MCDONALD,36.6728945,-121.6292908,20,0500,2359
MCDONALD,36.6567541,-121.6595359,20,0500,2359
MCDONALD,36.6803195,-121.6410062,20,0500,2359
MCDONALD,36.71530029999999,-121.6259764,20,0500,2359
MCDONALD,36.70467239999999,-121.6534758,20,0500,2359
MCDONALD,36.7178028,-121.650305,20,0500,2359
MCDONALD,36.71579810000001,-121.6572022,20,0500,2359
MCDONALD,36.7923987,-121.6663025,20,0500,2359
MCDONALD,44.940633,-89.841368,20,0500,2359
MCDONALD,44.7858487,-89.6870981,20,0500,2359
MCDONALD,41.782501,-74.7292319,20,0500,2359
MCDONALD,41.6672197,-74.6796995,20,0500,2359
MCDONALD,41.6664366,-74.67453139999999,20,0500,2359
MCDONALD,27.0707967,-82.2080309,20,0500,2359
MCDONALD,31.96258266,-95.26960194,20,0500,2359
MCDONALD,40.56608809999999,-90.0342366,20,0500,2359
MCDONALD,40.8604573,-76.55000299999999,20,0500,2359
MCDONALD,40.7902409,-76.5382253,20,0500,2359
MCDONALD,37.0433238,-86.2104353,20,0500,2359
MCDONALD,38.7841122,-123.0132002,20,0500,2359
MCDONALD,39.0323122,-122.9243861,20,0500,2359
MCDONALD,39.0067183,-93.9532818,20,0500,2359
MCDONALD,39.1857755,-93.8802262,20,0500,2359
MCDONALD,38.7715248,-93.5662945,20,0500,2359
MCDONALD,33.7588109,-87.0661337,20,0500,2359
MCDONALD,29.956177,-82.9236418,20,0500,2359
MCDONALD,32.6009686,-93.842724,20,0500,2359
MCDONALD,31.64989349999999,-89.5706369,20,0500,2359
MCDONALD,45.8497608,-119.289562,20,0500,2359
MCDONALD,42.3807633,-76.8633132,20,0500,2359
MCDONALD,44.765423,-88.0483177,20,0500,2359
MCDONALD,44.61010549999999,-88.7630827,20,0500,2359
MCDONALD,46.3239028,-72.5644722,20,0500,2359
MCDONALD,39.4080418,-86.4375293,20,0500,2359
MCDONALD,34.16238078,-82.38218039,20,0500,2359
MCDONALD,36.07179120000001,-83.9281383,20,0500,2359
MCDONALD,49.8405229,-119.6144696,20,0500,2359
MCDONALD,49.8310147,-119.6214758,20,0500,2359
MCDONALD,37.5596717,-90.3159,20,0500,2359
MCDONALD,39.98319499999999,-90.75725779999999,20,0500,2359
MCDONALD,36.6392362,-85.2144935,20,0500,2359
MCDONALD,36.6966442,-85.13575999999999,20,0500,2359
MCDONALD,40.17885,-118.4728068,20,0500,2359
MCDONALD,36.4672447,-82.48429999999999,20,0500,2359
MCDONALD,37.9347696,-87.88379510000001,20,0500,2359
MCDONALD,38.07951859999999,-88.1779557,20,0500,2359
MCDONALD,39.3317004,-101.7253942,20,0500,2359
MCDONALD,42.2078256,-83.35833579999999,20,0500,2359
MCDONALD,45.93131705,-118.3875561,20,0500,2359
MCDONALD,34.79910570000001,-88.20640639999999,20,0500,2359
MCDONALD,38.9171456,-79.8442658,20,0500,2359
MCDONALD,35.07661239999999,-107.5571494,20,0500,2359
MCDONALD,48.5933759,-123.3975382,20,0500,2359
MCDONALD,48.4440442,-123.3360283,20,0500,2359
MCDONALD,48.4610186,-123.3334804,20,0500,2359
MCDONALD,31.5304431,-83.8265256,20,0500,2359
